"","REGION","ISLANDCODE","SEC_NAME","SIG","Site","Interval","Genus","Interval_Years","ISLAND","SFMObs.SiteYrRecVal","ANALYSIS_YEAR","MN.SecYrRecVal","SE.SecYrRecVal","N.SecYrRecVal","CI95.SecYrRecVal","LOW_CI95.SecYrRecVal","HIGH_CI95.SecYrRecVal","MN.SecSumRecVal","SE.SecSumRecVal","MN.ISLYR.RecVal","SE.ISLYR.RecVal","MN.REGYR.RecVal","SE.REGYR.RecVal"
"1","MARIAN","ASC","Asuncion","ASC003_1706-2207_POSP","OCC-ASC-003","17_22","POSP",5.12799452429843,"Asuncion",NA,"2017",0.0160290069586556,0.00745265934400799,12,0.0146072123142557,0.00142179464439993,0.0306362192729112,0.0070039261761892,0.00756666971264834,0.0160290069586556,0.00745265934400799,0.0114903886842272,0.0285527691269363
"2","MARIAN","ASC","Asuncion","ASC003_1706-2207_ACSP","OCC-ASC-003","17_22","ACSP",5.12799452429843,"Asuncion",NA,"2017",0,NA,12,NA,NA,NA,0.000569517332269247,0.00178379388380405,0,0,0.00338230999271553,0.00995658337922921
"3","MARIAN","ASC","Asuncion","ASC003_1706-2207_POCS","OCC-ASC-003","17_22","POCS",5.12799452429843,"Asuncion",NA,"2017",0.0653769129236068,0.0223165894412348,12,0.0437405153048203,0.0216363976187865,0.109117428228427,0.0251901461359762,0.0224693878689896,0.0653769129236068,0.0223165894412348,0.0203405408832701,0.0587431609993391
"4","MARIAN","GUA","GUA_TUMON_BAY","GUA015_1705-2206_POSP","OCC-GUA-015","17_22","POSP",5.11430527036276,"Guam",NA,"2017",NA,NA,NA,NA,NA,NA,NA,NA,0.00227847632843808,0.00182827576804219,0.0114903886842272,0.0285527691269363
"5","MARIAN","GUA","GUA_TUMON_BAY","GUA015_1705-2206_POCS","OCC-GUA-015","17_22","POCS",5.11430527036276,"Guam",NA,"2017",NA,NA,NA,NA,NA,NA,NA,NA,0.0189308938678132,0.0201717375478057,0.0203405408832701,0.0587431609993391
"6","MARIAN","GUA","GUA_WEST_OPEN","GUA025_1705-2207_POSP","OCC-GUA-025","17_22","POSP",5.18001368925394,"Guam",NA,"2017",0.00115507244102799,0.000506139061329585,11,0.000992032560205987,0.000163039880822001,0.00214710500123397,0.000747714662681643,0.000534466205413166,0.00227847632843808,0.00182827576804219,0.0114903886842272,0.0285527691269363
"7","MARIAN","GUA","GUA_WEST_OPEN","GUA025_1705-2207_POCS","OCC-GUA-025","17_22","POCS",5.18001368925394,"Guam",NA,"2017",0.028177728175374,0.0164567080043308,11,0.0322551476884883,-0.00407741951311432,0.0604328758638623,0.0254008480519365,0.0252647910328346,0.0189308938678132,0.0201717375478057,0.0203405408832701,0.0587431609993391
"8","MARIAN","GUA","GUA_WEST_OPEN","GUA025_1705-2207_ACSP","OCC-GUA-025","17_22","ACSP",5.18001368925394,"Guam",NA,"2017",0.00420379622929583,0.00435055073638571,11,0.00852707944331598,-0.00432328321402016,0.0127308756726118,0.0187789750588115,0.0467558126829897,0.00356463275062554,0.00583210700915069,0.00338230999271553,0.00995658337922921
"9","MARIAN","GUA","GUA_PITI_BOMB","GUA026_1705-2208_POSP","OCC-GUA-026","17_22","POSP",5.24572210814511,"Guam",NA,"2017",NA,NA,NA,NA,NA,NA,NA,NA,0.00227847632843808,0.00182827576804219,0.0114903886842272,0.0285527691269363
"10","MARIAN","GUA","GUA_PITI_BOMB","GUA026_1705-2208_ACSP","OCC-GUA-026","17_22","ACSP",5.24572210814511,"Guam",NA,"2017",NA,NA,NA,NA,NA,NA,NA,NA,0.00356463275062554,0.00583210700915069,0.00338230999271553,0.00995658337922921
